"","HomeTeam","AwayTeam","Season","Date","FTHG","FTAG","FTR","HTHG","ATHG","HTR","OddsH","OddsD","OddsA","BetVictorH","BetVictorD","BetVictorA","tenBetH","tenBetD","tenBetA","EighteenBetH","EighteenBetD","EighteenBetA","UnibetH","UnibetD","UnibetA","bwinH","bwinD","bwinA","PinnacleH","PinnacleD","PinnacleA"
"2:205","Bray","Sligo Rovers",8,"2016-03-26",4,0,"H",0,0,"D",2.6,3.13,2.8,2.6,3.13,2.8,2.55,3.1,2.75,2.57,2.99,2.8,2.55,3,2.8,2.5,3.1,2.65,2.63,3.27,2.95
"2:620","Finn Harps","Longford",8,"2016-03-26",1,0,"H",0,0,"D",2.1,3.2,3.7,2.1,3.2,3.7,2.05,3.15,3.65,2.11,3.2,3.38,2.05,3.2,3.65,2,3.1,3.6,2.14,3.34,3.87
"2:632","Galway","Bohemians",8,"2016-03-26",1,0,"H",0,0,"D",2.45,3.2,2.9,2.45,3.2,2.9,2.45,3.1,2.85,2.42,3.1,2.91,2.45,3.25,2.8,2.4,3.1,2.8,2.58,3.26,3.02
"2:1171","Wexford","Derry City",8,"2016-03-26",1,2,"A",0,0,"D",3.2,3.3,2.25,3.2,3.3,2.25,3.15,3.2,2.25,3.12,3.14,2.27,3.1,3.2,2.3,3.3,3.1,2.1,3.3,3.39,2.34
"2:71","Bohemians","Longford",8,"2016-04-01",2,0,"H",2,0,"H",1.55,3.9,6.25,1.55,3.9,6.25,1.53,3.9,6.2,1.57,3.83,5.5,1.55,3.8,6.5,1.55,3.6,5.75,1.58,4.11,6.77
"2:524","Dundalk","Derry City",8,"2016-04-01",1,1,"D",1,0,"H",1.44,4.3,8,1.44,4.3,8,1.37,4.3,8.5,1.43,4.03,7.55,1.4,4.25,8,1.4,4.25,6.75,1.43,4.55,9.4
"2:825","Shamrock Rovers","Galway",8,"2016-04-01",2,0,"H",1,0,"H",1.7,3.6,5.2,1.7,3.6,5.2,1.69,3.55,5,1.73,3.5,4.6,1.7,3.5,4.75,1.7,3.5,4.5,1.74,3.75,5.42
"2:1169","Wexford","Bray",8,"2016-04-01",2,0,"H",1,0,"H",2.3,3.3,3.13,2.3,3.3,3.13,2.2,3.15,3.3,2.25,3.06,3.25,2.2,3.2,3.15,2.3,3.3,2.75,2.29,3.27,3.48
"2:911","Sligo Rovers","Cork City",8,"2016-04-02",0,0,"D",0,0,"D",8,4.1,1.44,8,4.1,1.44,8,4.1,1.41,6.4,4.05,1.48,7.5,4,1.4,8,3.9,1.4,8.8,4.3,1.47
"2:297","Cork City","Wexford",8,"2016-04-08",1,1,"D",0,1,"A",1.22,5.75,13,1.22,5.75,13,1.26,5.25,11,1.27,5.17,10,1.25,5.25,11,1.25,4.75,11,1.31,5.64,12.1
"2:361","Derry City","Shamrock Rovers",8,"2016-04-08",3,0,"H",2,0,"H",3.6,3.1,2.2,3.6,3.1,2.2,3.6,3,2.15,3.33,3.02,2.23,3.25,3.1,2.25,3.2,3,2.2,3.87,3.1,2.25
"2:669","Galway","Finn Harps",8,"2016-04-08",1,0,"H",0,0,"D",1.75,3.4,5,1.75,3.4,5,1.74,3.35,5.05,1.78,3.25,4.82,1.75,3.4,4.75,1.7,3.4,4.5,1.78,3.56,5.52
"2:1089","St. Patricks","Sligo Rovers",8,"2016-04-08",1,1,"D",0,1,"A",1.5,4.1,6.5,1.5,4.1,6.5,1.49,3.95,6.7,1.51,3.93,6.13,1.5,3.8,6.5,1.53,3.8,5.5,1.54,4.24,7.24
"2:127","Bray","Bohemians",8,"2016-04-09",0,2,"A",0,1,"A",3.6,3.2,2.1,3.6,3.2,2.1,3.45,3.25,2.1,3.38,3.18,2.12,3.5,3.2,2.1,3.1,3.25,2.15,3.72,3.43,2.15
"2:745","Longford","Dundalk",8,"2016-04-09",0,4,"A",0,2,"A",15,6.25,1.2,15,6.25,1.2,13.5,5.9,1.2,11,5.8,1.23,12,6,1.22,9.75,5,1.25,15,6.42,1.25
"2:624","Finn Harps","St. Patricks",8,"2016-04-11",1,2,"A",0,0,"D",4.4,3.3,1.9,4.4,3.3,1.9,4.55,3.15,1.87,3.88,3.17,1.95,4.25,3.25,1.9,4.1,3.1,1.87,4.95,3.29,1.93
"2:83","Bohemians","Shamrock Rovers",8,"2016-04-15",0,4,"A",0,1,"A",3.4,3,2.3,3.4,3,2.3,3.25,3,2.3,3.2,2.9,2.36,3.35,3.1,2.2,3,3.1,2.25,3.43,3.13,2.41
"2:578","Dundalk","Sligo Rovers",8,"2016-04-15",1,0,"H",1,0,"H",1.29,5.5,11,1.29,5.5,11,1.23,5.45,12.25,1.29,4.87,10.57,1.27,5,10,1.28,5,8.5,1.28,5.94,13.58
"2:616","Finn Harps","Bray",8,"2016-04-15",1,0,"H",1,0,"H",2.7,3,2.8,2.7,3,2.8,2.6,3,2.8,2.65,2.99,2.71,2.5,3.1,2.85,2.4,3,2.85,2.71,3.15,2.95
"2:645","Galway","Cork City",8,"2016-04-15",2,2,"D",2,1,"H",4.8,3.4,1.8,4.8,3.4,1.8,4.5,3.3,1.8,4.28,3.27,1.84,4.5,3.4,1.8,4.5,3.4,1.72,4.91,3.52,1.86
"2:1099","St. Patricks","Wexford",8,"2016-04-15",4,0,"H",3,0,"H",1.75,3.75,4.5,1.75,3.75,4.5,1.71,3.6,4.7,1.75,3.57,4.33,1.7,3.65,4.55,1.75,3.2,4.6,1.77,3.81,5.08
"2:743","Longford","Derry City",8,"2016-04-16",1,1,"D",1,0,"H",6,3.9,1.57,6,3.9,1.57,5.45,3.75,1.61,5.45,3.83,1.57,6,3.85,1.55,5.5,3.6,1.55,5.76,3.95,1.67
"2:259","Cork City","Finn Harps",8,"2016-04-22",3,1,"H",2,0,"H",1.17,6.5,19,1.17,6.5,19,1.17,6.25,16,1.19,6.1,13.17,1.2,6,12,1.2,5.5,11.5,1.22,6.81,18.14
"2:309","Derry City","Bohemians",8,"2016-04-22",1,0,"H",1,0,"H",2.1,3.2,3.7,2.1,3.2,3.7,2.05,3.15,3.65,2.12,3.15,3.42,2.05,3.2,3.6,1.95,3,3.9,2.13,3.3,3.96
"2:813","Shamrock Rovers","Dundalk",8,"2016-04-22",0,2,"A",0,1,"A",3.4,3.13,2.25,3.4,3.13,2.25,3.35,3.1,2.2,3.18,3.08,2.26,3.15,3.2,2.25,3,3.2,2.2,3.69,3.23,2.25
"2:1177","Wexford","Galway",8,"2016-04-22",0,2,"A",0,0,"D",3.6,3.5,2,3.6,3.5,2,3.65,3.35,2,3.45,3.35,2.03,3.4,3.3,2.1,3.2,3.2,2.1,3.86,3.6,2.05
"2:217","Bray","St. Patricks",8,"2016-04-23",1,0,"H",1,0,"H",4.8,3.6,1.75,4.8,3.6,1.75,4.7,3.55,1.74,4.32,3.52,1.77,4.25,3.5,1.8,4.75,3.25,1.72,5.1,3.77,1.77
"2:957","Sligo Rovers","Longford",8,"2016-04-23",3,0,"H",3,0,"H",1.6,3.8,6,1.6,3.8,6,1.57,3.75,5.85,1.6,3.77,5.3,1.6,3.7,5.5,1.62,3.4,5.25,1.61,4.02,6.53
"2:277","Cork City","Shamrock Rovers",8,"2016-04-25",2,0,"H",2,0,"H",1.83,3.3,4.75,1.83,3.3,4.75,1.83,3.25,4.45,1.87,3.28,4.13,1.85,3.4,4.2,1.83,3.25,4,1.9,3.44,4.82
"2:55","Bohemians","Dundalk",8,"2016-04-29",0,2,"A",0,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2:293","Cork City","St. Patricks",8,"2016-04-29",1,0,"H",1,0,"H",1.5,4,7,1.5,4,7,1.47,3.95,7,1.5,4,6.17,1.5,3.8,7,1.45,3.8,6.75,1.51,4.23,8.06
"2:373","Derry City","Sligo Rovers",8,"2016-04-29",0,2,"A",0,1,"A",2,3.2,4,2,3.2,4,2.05,3.2,3.7,2.09,3.23,3.42,1.95,3.3,3.75,1.95,3.2,3.6,2.12,3.35,3.93
"2:675","Galway","Longford",8,"2016-04-29",2,2,"D",2,0,"H",1.4,4.6,8,1.4,4.6,8,1.38,4.6,7.5,1.41,4.45,6.83,1.4,4.5,6.5,1.44,4.1,6.25,1.44,4.83,8.17
"2:777","Shamrock Rovers","Bray",8,"2016-04-29",2,0,"H",0,0,"D",1.55,4,6,1.55,4,6,1.59,3.8,5.55,1.61,3.75,5.2,1.5,4,6.5,1.48,3.9,6,1.65,4.03,5.82
"2:1175","Wexford","Finn Harps",8,"2016-04-29",1,1,"D",0,1,"A",2.2,3.2,3.4,2.2,3.2,3.4,2.2,3.15,3.25,2.35,3.15,2.96,2,3.3,3.5,2.05,3.2,3.3,2.34,3.29,3.42
"2:548","Dundalk","Galway",8,"2016-05-06",2,1,"H",0,0,"D",1.25,5.75,11.5,1.25,5.75,11.5,1.23,5.6,11.75,1.26,5.7,9.23,1.23,5.75,12,1.25,5,10.5,1.29,5.85,12.9
"2:614","Finn Harps","Bohemians",8,"2016-05-06",0,0,"D",0,0,"D",3.6,3,2.25,3.6,3,2.25,3.5,3,2.2,3.22,3,2.3,3.5,3,2.15,3.75,3,2,3.62,3.15,2.32
"2:1031","St. Patricks","Derry City",8,"2016-05-06",0,1,"A",0,0,"D",2.55,3.1,2.9,2.55,3.1,2.9,2.45,3.05,2.9,2.49,2.99,2.91,2.4,3.2,2.9,2.3,3,3,2.61,3.2,3.04
"2:135","Bray","Cork City",8,"2016-05-07",0,2,"A",0,0,"D",8,4.1,1.45,8,4.1,1.45,7.25,4,1.44,6.73,3.88,1.48,8,4.25,1.4,6.75,4,1.42,7.98,4.19,1.51
"2:749","Longford","Shamrock Rovers",8,"2016-05-07",0,2,"A",0,0,"D",7,4.33,1.45,7,4.33,1.45,6.95,4.2,1.44,6.17,4.15,1.48,7,4.15,1.45,6.5,4,1.44,7.47,4.49,1.5
"2:991","Sligo Rovers","Wexford",8,"2016-05-07",4,1,"H",3,0,"H",1.5,4.2,6.5,1.5,4.2,6.5,1.51,4.1,5.95,1.54,4.08,5.33,1.5,4,6.25,1.57,3.75,5,1.56,4.42,6.43
"1:287","Derry City","Finn Harps",8,"2016-05-10",2,2,"D",0,1,"A",1.45,3.9,9,1.45,3.9,9,1.47,3.8,7.75,1.49,3.8,6.87,1.4,4.25,7.5,1.4,3.8,8.25,1.58,3.86,7.53
"1:288","Longford","Wexford",8,"2016-05-10",2,4,"A",1,2,"A",2.8,3.5,2.4,2.8,3.5,2.4,2.75,3.35,2.4,2.86,3.27,2.36,2.8,3.25,2.5,2.5,3.3,2.5,NA,NA,NA
"1:289","Shamrock Rovers","Sligo Rovers",8,"2016-05-10",3,0,"H",2,0,"H",2.38,3.13,3.2,2.38,3.13,3.2,2.2,3.1,3.4,2.22,3.07,3.2,2.25,3.15,3.2,2.2,3.1,3.1,2.18,3.36,3.72
